source_type,purchase_year,bus_manufacturer,bus_model,bus_type,seating_capacity,base_price,special_needs_bus,state,vehicle_dealer,source,source_url,date_published_or_updated
State Contract,2022,NA,NA,Type A,24,227595,No,WV,Rohrer Enterprises,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22D.pdf,44562
State Contract,2022,Thomas Built Buses,Saf-T-Liner C2 Jouley,Type C,65,322895,No,WV,Matheny Motor Truck,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22B.pdf,44562
State Contract,2022,Thomas Built Buses,Saf-T-Liner C2 Jouley,Type C,71,323251,No,WV,Matheny Motor Truck,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22B.pdf,44562
State Contract,2022,Thomas Built Buses,Saf-T-Liner C2 Jouley,Type C,77,325545,No,WV,Matheny Motor Truck,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22B.pdf,44562
State Contract,2022,Thomas Built Buses,Saf-T-Liner C2 Jouley,Type C,65,327522,Yes,WV,Matheny Motor Truck,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22B.pdf,44562
State Contract,2022,Thomas Built Buses,Saf-T-Liner C2 Jouley,Type C,71,328387,Yes,WV,Matheny Motor Truck,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22B.pdf,44562
State Contract,2022,Thomas Built Buses,Saf-T-Liner C2 Jouley,Type C,77,330259,Yes,WV,Matheny Motor Truck,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22B.pdf,44562
State Contract,2022,IC Bus,CE,Type C,71,356402.69,No,WV,Worldwide Equipment of WV,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22C.pdf,44562
State Contract,2022,Blue Bird,Vision,Type C,71,366138,No,WV,Blue Bird Bus Sales of Pittsburgh,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22A.pdf,44562
State Contract,2022,Blue Bird,Vision,Type C,77,366861,No,WV,Blue Bird Bus Sales of Pittsburgh,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22A.pdf,44562
State Contract,2022,Blue Bird,Vision,Type C,71,376138,Yes,WV,Blue Bird Bus Sales of Pittsburgh,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22A.pdf,44562
State Contract,2022,Blue Bird,Vision,Type C,77,376861,Yes,WV,Blue Bird Bus Sales of Pittsburgh,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22A.pdf,44562
State Contract,2022,Blue Bird,All-American,Type D,84,385108,No,WV,Blue Bird Bus Sales of Pittsburgh,West Virginia Purchasing Division,http://www.state.wv.us/admin/purchase/swc/SBUS22A.pdf,44562
